,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
64,101010,1042439,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,244,CPI,Scale,100
65,101010,1042439,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100
66,101010,1471371,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
67,101010,1471371,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,244,CPI,Scale,100
68,101010,1610216,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75
69,101010,1610216,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50
70,101010,1033861,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100
71,101010,1033861,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,5-A,Scaled Score,Scale,276,CPI,Scale,100
72,101010,1278342,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,258,CPI,Scale,100
73,101010,1278342,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100
74,101010,1322437,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
75,101010,1322437,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75
76,101010,1712560,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
77,101010,1712560,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75
78,101010,1007570,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,252,CPI,Scale,100
79,101010,1007570,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
80,101010,1347722,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100
81,101010,1347722,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100
82,101010,1852218,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,214,CPI,Scale,25
83,101010,1852218,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25
84,101010,1931570,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100
85,101010,1931570,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
86,101010,1110628,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100
87,101010,1110628,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
88,101010,1744494,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,228,CPI,Scale,50
89,101010,1744494,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75
90,101010,1206310,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,208,CPI,Scale,0
91,101010,1206310,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,214,CPI,Scale,25
92,101010,1358692,Missing,3,4/1/2013,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75
93,101010,1358692,Missing,3,5/1/2013,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,228,CPI,Scale,50
